,ret,vola,sharpe,xesc,xspx,phau,csbgu7,csbgu3,ibtm,em13,em35,em57,em710,em1015,em15
424,0.073320644052256,0.052685018432821536,1.2018719160741285,0.004001677117367492,0.2614000928579628,,,,,,,0.2835284976884087,,0.4510697323362611,
155,0.07941777239396043,0.05668947698658849,1.2245265979501485,0.004069329361530394,0.2780685662761557,,,,,,,0.3762429497462965,,,0.34161915461601733
105,0.07756936414002481,0.055302441195769894,1.221815216092002,0.002179298183200329,0.3111690841579627,,,,,,,,0.6529567461327109,0.0336948715261262,
610,0.07493826333700632,0.05162912424273942,1.2577835531684147,0.00012017483434725161,0.2546059799784631,,,,,,,,0.6425793118415275,,0.10269453334566207
320,0.09473086454808324,0.0685074539262352,1.2368123421915003,0.0015155026749818139,0.35865182983151495,,,,,,,,,0.30974136403679614,0.330091303456707
110,0.050541716953277194,0.0714654462806085,0.5672911744522027,0.18810423317343758,,0.18706947729415838,0.5185643382109271,0.10626195132147702,,,,,,,
226,0.05140267279785739,0.07022283082832764,0.5895899141274107,0.2272768534464716,,0.15756372318883533,0.44096186389772324,,0.17419755946696974,,,,,,
476,0.0507587607041791,0.0704832567173415,0.5782757863705654,0.1807862409281572,,0.16783654159517866,0.601008557786881,,,0.05036865968978317,,,,,
632,0.036256451120536236,0.03984519809879312,0.6589614903014254,0.06514645759547914,,0.08205092619519744,0.3330779065543759,,,,0.5197247096549475,,,,
63,0.04161072902681878,0.03794793678610359,0.8330025741582485,0.06565285018660039,,0.047674204698069024,0.25804545947235746,,,,,0.6286274856429731,,,
678,0.04900616688886059,0.045213553761722494,0.8627096001881401,0.07330343277887301,,0.10140160596583682,0.2832925650328924,,,,,,0.5420023962223978,,
595,0.05416800110402905,0.05131251870243119,0.8607646286116991,0.0551119346981237,,0.03283761032327384,0.33492972400964166,,,,,,,0.5771207309689609,
575,0.06502008423606742,0.06182033311514987,0.8899998020648653,0.12479032381600498,,0.08800040994819272,0.2786180927431151,,,,,,,,0.5085911734926872
