,isin,nome,ticker,benchmark,ter,areaBenchmark,emittente,strumento,dataSource,startDate,endDate,volAvg
84,IE00B53H0131,UBS CMCI COMPOSIT SF UCITS ETF USD A-ACC,CCUSAS.MI,UBS BLOOMBERG CMCI COMPOSITE TR,0.0034,COMMODITIES,UBS ETF,ETF,IE00B53H0131,2015-04-14,2019-04-04,703
85,LU1681042609,AMUNDI MSCI EUROPE UCITS ETF - EUR,CEU.MI,MSCI TRN EUROPE INDEX,0.0015,AZIONARIO EUROPA - AREA,AMUNDI,ETF,CEU.MI,2010-03-17,2019-04-04,1125
86,LU1437015735,AMUNDI MSCI EUROPE UCITS ETF DR,CEU2.MI,MSCI EUROPE,0.0015,AZIONARIO EUROPA - AREA,AMUNDI,ETF,LU1437015735,2017-04-05,2019-04-04,1711
87,IE00BYXZ2585,ISHARESCOREMSCIEMU(DIST) UCITS ETF,CEUD.MI,MSCI EMU TRN,0.0012,AZIONARIO EUROPA - AREA,ISHARES,ETF,IE00BYXZ2585,2017-04-26,2019-04-04,72763
99,FR0010756114,AMUNDI MSCI WORLD EX EMU UCITS ETF,CM9.MI,MSCI WORLD EX EMU NTR,0.0035,AZIONARIO MONDO,AMUNDI,ETF,CM9.MI,2010-04-22,2019-04-04,697
100,IE00BD6FTQ80,INVESCO BLOOMBERG COMMODITY UCITS ETF,CMOD.MI,BLOOMBERG COMMODITY INDEX,0.0019,COMMODITIES,INVESCO,ETF,IE00BD6FTQ80,2017-04-18,2019-04-04,2679
102,LU1602144575,AMUNDI MSCI EMU UCITS ETF DR - EUR,CMU.MI,MSCI EMU TRN,0.0025,AZIONARIO EUROPA - AREA,AMUNDI,ETF,CMU.MI,2010-03-17,2019-04-04,6549
103,LU1681044647,AMUNDI MSCI NORDIC EUR UCITS ETF,CN1.MI,MSCI NORDIC COUNTRIES TRN,0.0025,AZIONARIO EUROPA - AREA,AMUNDI,ETF,CN1.MI,2011-03-22,2019-04-04,570
108,IE00BSVYHQ11,L&G LOIM GLOBAL GOVT BOND FUND UCITS ETF,CORE.MI,LOIM FUNDAMENTAL GLOBAL GOVERNMENT TR,0.0025,TITOLI DI STATO - MONDO,LEGAL & GENERAL,ETF,IE00BSVYHQ11,2016-04-19,2019-04-04,64
111,LU1829218749,LYXOR COMMODITY CRB TR UCITS ETF,CRB.MI,THOMSON REUTERS/JEFFERIES CRB TOTAL RETURN,0.0035,COMMODITIES,LYXOR,ETF,CRB.MI,2006-06-01,2019-04-04,8454
112,LU1435770406,LYXOR COMM CRB EX-AGRIC UCITS ETF ACC,CRBA.MI,THOM REUT/CORE COMM CRB NON-AGRI AND LIVESTOCK TRI,0.0035,COMMODITIES,LYXOR,ETF,LU1435770406,2016-12-13,2019-04-04,45
113,LU1829218582,LYXOR COMMODITY EX-ENERGY TR UCITS ETF,CRBN.MI,THOMSON REUTERS/JEFFERIES CRB EX-ENERGY TR,0.0035,COMMODITIES,LYXOR,ETF,CRBN.MI,2006-11-16,2019-04-04,1407
116,LU0876440578,OSSIAM RISK WEIG EN COMM EX GR UCITS ETF,CRWE.MI,RISK WEIGHTED ENHANCED COMMODITY EX. GRAINS TR,0.0045,COMMODITIES,OSSIAM,ETF,LU0876440578,2013-09-12,2019-04-04,32
118,IE00B3VTMJ91,ISHARES EU GOVT BOND 1-3YR UCITS ETF ACC,CSBGE3.MI,BARCLAYS EURO GOV BOND 1-3 YEAR TERM,0.002,TITOLI DI STATO - EURO,ISHARES,ETF,CSBGE3.MI,2009-10-16,2019-04-03,9389
119,IE00B3VTML14,ISHARES EU GOVT BOND 3-7YR UCITS ETF ACC,CSBGE7.MI,BARCLAYS EURO GOV BOND 3-7 YEAR TERM,0.002,TITOLI DI STATO - EURO,ISHARES,ETF,CSBGE7.MI,2009-10-19,2019-04-03,5533
120,IE00B3VWN179,ISHARES $ TREA 1-3YR UCITS ETF USD ACC B,CSBGU3.MI,BARCLAYS US TREASURY 1-3 YEAR TERM,0.002,TITOLI DI STATO - NON EURO,ISHARES,ETF,CSBGU3.MI,2009-10-23,2019-04-03,6113
121,IE00B3VWN393,ISHARES $ TREASURY 3-7YR UCITS ETF ACC,CSBGU7.MI,BARCLAYS US TREASURY 3-7 YEAR TERM,0.002,TITOLI DI STATO - NON EURO,ISHARES,ETF,CSBGU7.MI,2009-10-16,2019-04-03,2061
134,IE00B5BMR087,ISHARES CORE S&P 500 UCITS ETF USD ACC,CSSPX.MI,S&P 500 TRN USD,0.0007,AZIONARIO NORD AMERICA,ISHARES,ETF,IE00B5BMR087,2010-05-26,2019-04-04,35724
141,LU1681042864,AMUNDI MSCI USA UCITS ETF - EUR,CU2.MI,MSCI USA,0.0028,AZIONARIO NORD AMERICA,AMUNDI,ETF,CU2.MI,2010-03-15,2019-04-04,488
142,FR0010821819,AMUNDI MSCI EUROPE EX EMU UCITS ETF,CU9.MI,MSCI EUROPE EX EMU NTR,0.003,AZIONARIO EUROPA - AREA,AMUNDI,ETF,CU9.MI,2010-04-30,2019-04-04,43
143,LU1681043599,AMUNDI MSCI WORLD UCITS ETF - EUR,CW8.MI,MSCI WORLD INDEX,0.0038,AZIONARIO MONDO,AMUNDI,ETF,CW8.MI,2010-09-10,2019-04-04,529
159,IE00BQZJBQ63,WISDOMTREE US EQUITY INCOM UCITS ETF DIS,DHS.MI,WISDOMTREE US EQUITY INCOME INDEX,0.0029,AZIONARIO NORD AMERICA,WISDOMTREE,ETF,IE00BQZJBQ63,2015-01-26,2019-04-04,354
160,IE00BD6RZT93,WISDOMTREE US EQUITY INCOM UCITS ETF ACC,DHSA.MI,WISDOMTREE US EQUITY INCOME INDEX,0.0029,AZIONARIO NORD AMERICA,WISDOMTREE,ETF,IE00BD6RZT93,2016-11-22,2019-04-03,354
161,IE00BD6RZW23,WISDOMTREE US EQ IN UCITS ETF EU HED ACC,DHSF.MI,WISDOMTREE US EUR HEDGED EQUITY INCOME INDEX,0.0035,AZIONARIO NORD AMERICA,WISDOMTREE,ETF,IE00BD6RZW23,2016-11-22,2019-04-03,0
