,isin,nome,ticker,benchmark,ter,areaBenchmark,emittente,strumento,dataSource,startDate,endDate,volAvg
825,LU0690964092,XTRACKERS II GL GOVT EUR HED D UCITS ETF,XGVD.MI,FTSE WORLD GOV BOND HEDGED,0.0025,TITOLI DI STATO - MONDO,XTRACKERS,ETF,LU0690964092,2012-01-31,2019-04-04,820
829,LU0952581584,XTRACKERS II JAPAN GOVT BOND UCITS ETF,XJSE.MI,FTSE JAPANESE GOV BOND,0.0015,TITOLI DI STATO - NON EURO,XTRACKERS,ETF,LU0952581584,2013-12-13,2019-04-04,78805
843,IE00BGHQ0G80,XTRACKERS MSCI AC WORLD UCITS ETF,XMAW.MI,MSCI ACWI EUR TRN,0.005,AZIONARIO MONDO,XTRACKERS,ETF,IE00BGHQ0G80,2014-07-21,2019-04-04,11878
847,LU0274209237,XTRACKERS MSCI EUROPE UCITS ETF,XMEU.MI,MSCI TRN EUROPE INDEX,0.003,AZIONARIO EUROPA - AREA,XTRACKERS,ETF,XMEU.MI,2007-02-15,2019-04-04,4056
858,LU0274210672,XTRACKERS MSCI USA SWAP UCITS ETF,XMUS.MI,MSCI TRN USA INDEX,0.003,AZIONARIO NORD AMERICA,XTRACKERS,ETF,XMUS.MI,2007-02-15,2019-04-04,7019
859,IE00BDGN9Z19,XTRACKERS MSCI EMU MINIM VOL UCITS ETF,XMVE.MI,MSCI EMU MINIMUM VOLATILITY TRN,0.0025,AZIONARIO EUROPA - AREA,XTRACKERS,ETF,IE00BDGN9Z19,2017-03-13,2019-04-04,2451
860,IE00BDB7J586,XTRACKERS MSCI USA MINIM VOL UCITS ETF,XMVU.MI,MSCI USA MINIMUM VOLATILITY TRN,0.002,AZIONARIO NORD AMERICA,XTRACKERS,ETF,IE00BDB7J586,2017-03-13,2019-04-04,690
861,LU0274208692,XTRACKERS MSCI WORLD SWAP UCITS ETF,XMWO.MI,MSCI TRN WORLD INDEX,0.0045,AZIONARIO MONDO,XTRACKERS,ETF,XMWO.MI,2007-02-15,2019-04-04,8930
866,IE00BYM8JD58,INVESCO REAL ESTATE S&P US UCITS ETF,XRES.MI,S&P SELECT SECTOR CAPPED 20% REAL ESTATE NTR,0.0014,REAL ESTATE,INVESCO,ETF,XRES.MI,2019-02-04,2019-04-04,17
867,IE00BJZ2DD79,XTRACKERS RUSSELL 2000 UCITS ETF,XRS2.MI,RUSSELL 2000 TRN INDEX,0.0045,AZIONARIO NORD AMERICA,XTRACKERS,ETF,IE00BJZ2DD79,2015-04-09,2019-04-04,537
868,IE00BJZ2DC62,XTRACKERS RUSSELL MIDCAP UCITS ETF,XRSM.MI,RUSSELL MIDCAP TRN,0.0035,AZIONARIO NORD AMERICA,XTRACKERS,ETF,IE00BJZ2DC62,2015-04-09,2019-04-04,631
881,LU0490618542,XTRACKERS S&P 500 SWAP UCITS ETF 1C,XSPX.MI,S&P 500 TRN USD,0.002,AZIONARIO NORD AMERICA,XTRACKERS,ETF,XSPX.MI,2010-07-26,2019-04-04,24741
883,LU0328475792,XTRACKERS STOXX EUROPE 600 UCITS ETF,XSX6.MI,STOXX 600 TR,0.002,AZIONARIO EUROPA - AREA,XTRACKERS,ETF,XSX6.MI,2009-02-16,2019-04-04,3985
888,LU0429459356,XTRACKERS II US TREASURIES UCITS ETF,XUTD.MI,IBOXX $ TREASURIES TR,0.0015,TITOLI DI STATO - NON EURO,XTRACKERS,ETF,LU0429459356,2017-09-29,2019-04-04,36
889,LU1399300455,XTRACKERS II US TREAS EURO HED UCITS ETF,XUTE.MI,IBOXX $ TREASURIES TR,0.002,TITOLI DI STATO - NON EURO,XTRACKERS,ETF,LU1399300455,2017-03-13,2019-04-04,939
890,LU0659579733,XTRACK MSCI WORLD EUR HED SWAP UCITS ETF,XWEH.MI,MSCI WORLD EURO HEDGED TRN,0.0052,AZIONARIO MONDO,XTRACKERS,ETF,LU0659579733,2016-02-19,2019-04-04,11841
894,LU0524480265,XTRII IBOXX EUROZ GOV YLD PLUS UCITS ETF,XY4P.MI,MARKIT IBOXX EUR SOVEREIGNS EUROZONE Y PLUS TR,0.0015,TITOLI DI STATO - EURO,XTRACKERS,ETF,XY4P.MI,2011-01-25,2019-04-04,113
896,LU0925589839,XTRAC II EUROZ GOV YLD PLU 1-3 UCITS ETF,XYP1.MI,MARKIT IBOXX EUR SOV EUROZONE YIELD PLUS 1-3 TR,0.0015,TITOLI DI STATO - EURO,XTRACKERS,ETF,LU0925589839,2013-10-23,2019-04-04,4300
1138,GB00B00FHZ82,ETFS GOLD BULLION SECURITIES,GBS.MI,1/10 ONCIA TROY DI ORO,0.004,METALLI PREZIOSI,ETFS SECURITIES,ETC,GBS.MI,2007-04-20,2019-04-04,14513
1139,GB00B15KXX56,ETFS GOLD,BULL.MI,DOW JONES-UBS GOLD SUBINDEX,0.0054,METALLI PREZIOSI,ETFS SECURITIES,ETC,BULL.MI,2007-04-20,2019-04-04,5458
1140,GB00B15KY328,ETFS SILVER,SLVR.MI,DOW JONES-UBS SILVER SUBINDEX,0.0054,METALLI PREZIOSI,ETFS SECURITIES,ETC,SLVR.MI,2007-04-20,2019-04-04,1252
1141,JE00B1VS2W53,ETFS PHYSICAL PLATINUM,PHPT.MI,1/10 ONCIA TROY DI PLATINO,0.0049,METALLI PREZIOSI,ETFS SECURITIES,ETC,PHPT.MI,2007-06-20,2019-04-04,2430
1142,JE00B1VS3002,ETFS PHYSICAL PALLADIUM,PHPD.MI,1/10 ONCIA TROY DI PALLADIO,0.0049,METALLI PREZIOSI,ETFS SECURITIES,ETC,PHPD.MI,2007-06-20,2019-04-04,2456
1143,JE00B1VS3333,ETFS PHYSICAL SILVER,PHAG.MI,1 ONCIA TROY DI ARGENTO,0.0049,METALLI PREZIOSI,ETFS SECURITIES,ETC,PHAG.MI,2007-06-20,2019-04-04,26289
1144,JE00B1VS3770,ETFS PHYSICAL GOLD,PHAU.MI,1/10 ONCIA TROY DI ORO,0.0039,METALLI PREZIOSI,ETFS SECURITIES,ETC,PHAU.MI,2007-06-20,2019-04-04,25317
1145,JE00B1VS3W29,ETFS PHYSICAL PM BASKET,PHPM.MI,PAN PHPM BASKET,0.0044,METALLI PREZIOSI,ETFS SECURITIES,ETC,PHPM.MI,2007-06-20,2019-04-04,944
1146,XS0416722857,LYXOR ETN GOLD,GOLDL.MI,1/10 ONCIA TROY DI ORO,0.003,METALLI PREZIOSI,SOCIETE GENERALE,ETC,GOLDL.MI,2010-10-04,2019-04-04,91
1147,DE000A1EK0G3,XTRACKERS PHYSICAL GOLD EUR HEDGED ETC,XAD1.MI,1 ONCIA TROY DI ORO,0.0059,METALLI PREZIOSI,DEUTSCHE BANK,ETC,XAD1.MI,2010-10-27,2019-04-04,17550
1148,DE000A1EK0J7,XTRACKERS PHYSICAL SILVER EUR HEDGED ETC,XAD2.MI,1 ONCIA TROY DI ARGENTO,0.0075,METALLI PREZIOSI,DEUTSCHE BANK,ETC,XAD2.MI,2010-10-27,2019-04-04,892
1149,DE000A1EK0H1,XTRACKERS PHYSIC PLATINUM EUR HEDGED ETC,XAD3.MI,1 ONCIA TROY DI PLATINO,0.0075,METALLI PREZIOSI,DEUTSCHE BANK,ETC,XAD3.MI,2010-10-27,2019-04-04,307
1150,DE000A1EK3B8,XTRACKERS PHYSIC PALLADIUM EUR HEDG ETC,XAD4.MI,1 ONCIA TROY DI PALLADIO,0.0075,METALLI PREZIOSI,DEUTSCHE BANK,ETC,XAD4.MI,2010-10-27,2019-04-04,1056
1151,DE000A1E0HR8,XTRACKERS PHYSICAL GOLD ETC (EUR),XAD5.MI,1 ONCIA TROY DI ORO,0.0025,METALLI PREZIOSI,DEUTSCHE BANK,ETC,XAD5.MI,2010-10-27,2019-04-04,2124
1152,DE000A1E0HS6,XTRACKERS PHYSICAL SILVER ETC (EUR),XAD6.MI,1 ONCIA TROY DI ARGENTO,0.004,METALLI PREZIOSI,DEUTSCHE BANK,ETC,XAD6.MI,2010-10-20,2019-04-04,123
1153,JE00B2QY0F45,ETFS PLATINUM,PLTT.MI,DOW JONES-UBS PLATINUM SUBINDEX,0.0054,METALLI PREZIOSI,ETFS SECURITIES,ETC,PLTT.MI,2012-01-04,2019-04-04,6756
1154,JE00B588CD74,ETFS PHYSICAL SWISS GOLD,SGBS.MI,1/10 ONCIA TROY DI ORO,0.0025,METALLI PREZIOSI,ETFS SECURITIES,ETC,SGBS.MI,2012-05-14,2019-04-04,950
1155,JE00B4RKQV36,ETFS EUR DAILY HEDGED GOLD,EBUL.MI,DOW JONES-UBS GOLD SUBINDEX EURO HEDGED DAILY ER,0.0054,METALLI PREZIOSI,ETFS SECURITIES,ETC,JE00B4RKQV36,2012-07-06,2019-04-04,6469
1156,JE00B5SV2703,ETFS EUR DAILY HEDGED SILVER,ESVR.MI,DOW JONES-UBS SILVER SUBINDEX EURO HEDGED DAILY ER,0.0054,METALLI PREZIOSI,ETFS SECURITIES,ETC,JE00B5SV2703,2012-07-06,2019-04-04,5369
1157,JE00B8DFY052,ETFS EUR DAILY HEDGED PHYSICAL GOLD,GBSE.MI,1/100 ONCIA TROY DI ORO,0.0055,METALLI PREZIOSI,ETFS SECURITIES,ETC,JE00B8DFY052,2013-05-17,2019-04-04,23223
1158,XS1073721562,SG ETC GOLD DAILY EUR HEDGED COLLATERAL,GOLDH.MI,SOLACTIVE GOLD FUTURES LONG INDEX TR-EUR HEDGED,0.0048,METALLI PREZIOSI,SOCIETE GENERALE,ETC,XS1073721562,2016-05-24,2019-04-04,19
1159,IE00B579F325,INVESCO PHYSICAL GOLD ETC,SGLD.MI,1/10 ONCIA TROY DI ORO,0.0024,METALLI PREZIOSI,INVESCO,ETC,IE00B579F325,2014-11-27,2019-04-04,4421
1160,IE00BVFZGK87,BOOST GOLD ETC,GLD.MI,NASDAQ COMMODITY GOLD ER,0.0009,METALLI PREZIOSI,BOOST,ETC,IE00BVFZGK87,2015-04-09,2019-04-04,829
1161,XS1073721992,SG ETC GOLD COLLATERALIZED,GOLD1L.MI,SOLACTIVE GOLD FUTURES LONG INDEX TR,0.0029,METALLI PREZIOSI,SOCIETE GENERALE,ETC,XS1073721992,2016-05-24,2019-04-04,2
1162,XS1526242711,SG ETC SILVER COLLATERALIZED,SLVR1L.MI,SILVER FUTURES LONG INDEX,0.0048,METALLI PREZIOSI,SOCIETE GENERALE,ETC,XS1526242711,2017-05-31,2019-04-04,0
1163,XS1526243362,SG ETC SILVER DAILY EURO HEDGED COLLAT,SLVRH.MI,SILVER FUTURES LONG INDEX - EUR HEDGED,0.0048,METALLI PREZIOSI,SOCIETE GENERALE,ETC,XS1526243362,2017-05-31,2019-04-04,0
