,isin,nome,ticker,benchmark,ter,areaBenchmark,emittente,strumento,dataSource
33,FR0010344960,LYXOR STX EU600 OIL&GAS UCITS ETF ACC,OIL.MI,STOXX EUROPE 600 OIL & GAS TRN,0.003,AZIONARIO SETTORIALI (SVILUPPATI),LYXOR,ETF,OIL.MI
34,FR0010344978,LYXOR STX EU600 PERS&HOUSE UCITS ETF ACC,PHG.MI,STOXX EUROPE 600 PERSONAL & HOUSEHOLD GOODS TRN,0.003,AZIONARIO SETTORIALI (SVILUPPATI),LYXOR,ETF,PHG.MI
35,FR0010344986,LYXOR STX EU600 RETAIL UCITS ETF ACC,RTA.MI,STOXX EUROPE 600 RETAIL TRN,0.003,AZIONARIO SETTORIALI (SVILUPPATI),LYXOR,ETF,RTA.MI
36,FR0010345363,LYXOR STX EU600 FINAN SERV UCITS ETF ACC,FINS.MI,STOXX EUROPE 600 FINANCIAL SERVICES TRN,0.003,AZIONARIO SETTORIALI (SVILUPPATI),LYXOR,ETF,FINS.MI
37,FR0010345371,LYXOR STX EU 600 BANKS UCITS ETF ACC,BNK.MI,STOXX EUROPE 600 BANKS TRN,0.003,AZIONARIO SETTORIALI (SVILUPPATI),LYXOR,ETF,BNK.MI
38,FR0010345389,LYXOR STX EU600 BASIC RES UCITS ETF ACC,BRES.MI,STOXX EUROPE 600 BASIC RESOURCES TRN,0.003,AZIONARIO SETTORIALI (SVILUPPATI),LYXOR,ETF,BRES.MI
39,FR0010345470,LYXOR STX EU 600 CHEMICALS UCITS ETF ACC,CHM.MI,STOXX EUROPE 600 CHEMICALS TRN,0.003,AZIONARIO SETTORIALI (SVILUPPATI),LYXOR,ETF,CHM.MI
40,FR0010345504,LYXOR STX EU600 CONST&MAT UCITS ETF ACC,CST.MI,STOXX EUROPE 600 CONSTRUCTION & MATERIALS TRN,0.003,AZIONARIO SETTORIALI (SVILUPPATI),LYXOR,ETF,CST.MI
41,FR0010346205,LYXOR COMMOD CRB EX-ENERGY UCITS ETF ACC,CRBN.MI,THOMSON REUTERS/JEFFERIES CRB EX-ENERGY TR,0.0035,COMMODITIES,LYXOR,ETF,CRBN.MI
42,FR0010361675,LYXOR HONG KONG (HSI) UCITS ETF - DIST,HK.MI,HANG SENG NTR,0.0065,AZIONARIO EMERGENTI - ASIA,LYXOR,ETF,HK.MI
43,FR0010361683,LYXOR MSCI INDIA UCITS ETF - ACC,INDI.MI,MSCI INDIA TRN,0.0085,AZIONARIO EMERGENTI - ASIA,LYXOR,ETF,INDI.MI
44,FR0010361691,LYXOR MSCI KOERA UCITS ETF - C-EUR,KOR.MI,MSCI KOREA INDEX,0.0065,AZIONARIO EMERGENTI - ASIA,LYXOR,ETF,KOR.MI
45,FR0010397554,LYXOR MSCI MALAYSIA UCITS ETF - ACC,MAL.MI,MSCI MALAYSIA TRN,0.0065,AZIONARIO EMERGENTI - ASIA,LYXOR,ETF,MAL.MI
46,FR0010405431,LYXOR FTSE ATHEX LARGCAP UCITS ETF - DIS,GRC.MI,FTSE/ATHEX LARGE CAP NTR,0.0045,AZIONARIO EUROPA - SINGOLI PAESI,LYXOR,ETF,GRC.MI
47,FR0010408799,LYXOR BRAZIL (IBOVESPA) UCITS ETF - ACC,BRA.MI,BOVESPA INDEX,0.0065,AZIONARIO EMERGENTI - CENTRO/SUD AMERICA,LYXOR,ETF,BRA.MI
48,FR0010410266,LYXOR MSCI EM LAT AMERICA UCITS ETF ACC,LATAM.MI,MSCI EM LATIN AMERICA USD NET RETURN,0.0065,AZIONARIO EMERGENTI - CENTRO/SUD AMERICA,LYXOR,ETF,LATAM.MI
49,FR0010429068,LYXOR MSCI EMERGING MKTS UCITS ETF ACC,EMKT.MI,MSCI EMERGING MARKETS TRN INDEX,0.0055,AZIONARIO EMERGENTI - MONDO,LYXOR,ETF,EMKT.MI
50,FR0010444786,LYXOR MSCI TAIWAN UCITS ETF - ACC,TWN.MI,MSCI TAIWAN TRN INDEX,0.0065,AZIONARIO EMERGENTI - ASIA,LYXOR,ETF,TWN.MI
51,FR0010464446,LYXOR SAFR FTSE JSE TOP40 UCITS ETF ACC,SAFRI.MI,FTSE JSE TOP 40 NET TRI,0.0065,AZIONARIO EMERGENTI - AFRICA/MEDIO ORIENTE,LYXOR,ETF,SAFRI.MI
52,FR0010510800,LYXOR EURO CASH UCITS ETF - ACC,LEONIA.MI,FTSE MTS EONIA INVESTABLE,0.001,LIQUIDITA',LYXOR,ETF,LEONIA.MI
53,FR0010524777,LYXOR NEW ENERGY UCITS ETF - DIST,ENER.MI,WORLD ALTERNATIVE ENERGY INDEX CAP WEIGHTED NTR,0.006,AZIONARIO TEMATICI,LYXOR,ETF,ENER.MI
54,FR0010527275,LYXOR WORLD WATER UCITS ETF - DIST,WAT.MI,WORLD WATER INDEX CAP WEIGHTED NTR,0.006,AZIONARIO TEMATICI,LYXOR,ETF,WAT.MI
